      # Columns are: wavelength (microns), kappa ext (cm^2 g^-1),   kappa abs (cm^2 g^-1), kappa sca (cm^2 g^-1), albedo
 # Note that the opacities are per gram of gas
   8.0381E+00   8.4453E+00   8.0391E+00   4.0620E-01   4.8098E-02
   8.5905E+00   1.6282E+01   1.5337E+01   9.4495E-01   5.8037E-02
   9.1809E+00   2.6451E+01   2.4231E+01   2.2199E+00   8.3925E-02
   9.8119E+00   3.1298E+01   2.8025E+01   3.2730E+00   1.0458E-01
   1.0486E+01   2.9443E+01   2.6099E+01   3.3441E+00   1.1358E-01
   1.1207E+01   2.3183E+01   2.0527E+01   2.6561E+00   1.1457E-01
   1.1977E+01   1.7590E+01   1.5613E+01   1.9778E+00   1.1243E-01
   1.2800E+01   1.2560E+01   1.1200E+01   1.3599E+00   1.0827E-01
   1.3680E+01   8.8257E+00   7.9657E+00   8.5994E-01   9.7436E-02
   1.4620E+01   7.8361E+00   7.3217E+00   5.1440E-01   6.5645E-02
   1.5625E+01   8.8518E+00   8.4767E+00   3.7512E-01   4.2378E-02
   1.6699E+01   1.0344E+01   1.0014E+01   3.3003E-01   3.1906E-02
   1.7846E+01   1.1471E+01   1.1144E+01   3.2684E-01   2.8494E-02
   1.9073E+01   1.1295E+01   1.0978E+01   3.1631E-01   2.8005E-02
   2.0383E+01   9.8310E+00   9.5606E+00   2.7042E-01   2.7507E-02
   2.1784E+01   8.4673E+00   8.2503E+00   2.1695E-01   2.5622E-02
   2.3281E+01   7.2469E+00   7.0763E+00   1.7058E-01   2.3539E-02
   2.4881E+01   6.2456E+00   6.1121E+00   1.3351E-01   2.1376E-02
   2.6591E+01   5.3603E+00   5.2572E+00   1.0316E-01   1.9246E-02
   2.8419E+01   4.6194E+00   4.5397E+00   7.9753E-02   1.7265E-02
   3.0372E+01   3.9903E+00   3.9287E+00   6.1618E-02   1.5442E-02
   3.2459E+01   3.4440E+00   3.3966E+00   4.7398E-02   1.3763E-02
   3.4690E+01   2.9893E+00   2.9528E+00   3.6410E-02   1.2180E-02
   3.7074E+01   2.6100E+00   2.5821E+00   2.7982E-02   1.0721E-02
   3.9622E+01   2.2711E+00   2.2495E+00   2.1550E-02   9.4888E-03
   4.2345E+01   1.9693E+00   1.9527E+00   1.6601E-02   8.4297E-03
   4.5255E+01   1.7049E+00   1.6922E+00   1.2754E-02   7.4808E-03
   4.8365E+01   1.4748E+00   1.4650E+00   9.7927E-03   6.6401E-03
   5.1689E+01   1.2755E+00   1.2680E+00   7.5148E-03   5.8918E-03
   5.5242E+01   1.1020E+00   1.0962E+00   5.7634E-03   5.2299E-03
   5.9038E+01   9.5198E-01   9.4756E-01   4.4177E-03   4.6405E-03
   6.3096E+01   8.2297E-01   8.1959E-01   3.3842E-03   4.1121E-03
   6.7432E+01   7.1117E-01   7.0858E-01   2.5921E-03   3.6449E-03
   7.2066E+01   6.1457E-01   6.1258E-01   1.9854E-03   3.2306E-03
   7.7019E+01   5.3195E-01   5.3043E-01   1.5202E-03   2.8577E-03
   8.2312E+01   4.6093E-01   4.5977E-01   1.1637E-03   2.5246E-03
   8.7969E+01   3.9943E-01   3.9854E-01   8.9109E-04   2.2309E-03
   9.4015E+01   3.4665E-01   3.4596E-01   6.8224E-04   1.9681E-03
   1.0048E+02   3.0111E-01   3.0059E-01   5.2236E-04   1.7348E-03
   1.0738E+02   2.6171E-01   2.6131E-01   4.0005E-04   1.5286E-03
   1.1476E+02   2.2744E-01   2.2713E-01   3.0638E-04   1.3471E-03
   1.2265E+02   1.9813E-01   1.9790E-01   2.3459E-04   1.1840E-03
   1.3108E+02   1.7262E-01   1.7244E-01   1.7967E-04   1.0408E-03
   1.4008E+02   1.5046E-01   1.5032E-01   1.3762E-04   9.1468E-04
   1.4971E+02   1.3112E-01   1.3102E-01   1.0543E-04   8.0404E-04
   1.6000E+02   1.1440E-01   1.1432E-01   8.0770E-05   7.0604E-04
   1.7100E+02   9.9870E-02   9.9808E-02   6.1876E-05   6.1957E-04
   1.8275E+02   8.7235E-02   8.7188E-02   4.7407E-05   5.4344E-04
   1.9531E+02   7.6187E-02   7.6151E-02   3.6324E-05   4.7678E-04
   2.0873E+02   6.6522E-02   6.6494E-02   2.7836E-05   4.1845E-04
   2.2308E+02   5.8143E-02   5.8122E-02   2.1334E-05   3.6692E-04
   2.3841E+02   5.0813E-02   5.0797E-02   1.6348E-05   3.2172E-04
   2.5479E+02   4.4422E-02   4.4410E-02   1.2528E-05   2.8203E-04
   2.7230E+02   3.8834E-02   3.8824E-02   9.6021E-06   2.4726E-04
   2.9102E+02   3.3955E-02   3.3948E-02   7.3583E-06   2.1671E-04
   3.1102E+02   2.9706E-02   2.9700E-02   5.6393E-06   1.8984E-04
   3.3239E+02   2.5980E-02   2.5975E-02   4.3221E-06   1.6637E-04
   3.5523E+02   2.2733E-02   2.2730E-02   3.3128E-06   1.4573E-04
   3.7965E+02   1.9886E-02   1.9883E-02   2.5392E-06   1.2769E-04
   4.0574E+02   1.7404E-02   1.7402E-02   1.9459E-06   1.1181E-04
   4.3362E+02   1.5226E-02   1.5224E-02   1.4917E-06   9.7970E-05
   4.6342E+02   1.3329E-02   1.3328E-02   1.1432E-06   8.5766E-05
   4.9527E+02   1.1658E-02   1.1657E-02   8.7638E-07   7.5172E-05
   5.2931E+02   1.0211E-02   1.0210E-02   6.7167E-07   6.5782E-05
   5.6569E+02   8.9363E-03   8.9358E-03   5.1486E-07   5.7615E-05
   6.0456E+02   7.8207E-03   7.8203E-03   3.9467E-07   5.0465E-05
   6.4611E+02   6.8470E-03   6.8467E-03   3.0250E-07   4.4179E-05
   6.9052E+02   5.9941E-03   5.9939E-03   2.3185E-07   3.8680E-05
   7.3797E+02   5.2478E-03   5.2476E-03   1.7771E-07   3.3864E-05
   7.8869E+02   4.5942E-03   4.5941E-03   1.3621E-07   2.9648E-05
   8.4289E+02   4.0193E-03   4.0192E-03   1.0443E-07   2.5983E-05
   9.0082E+02   3.5194E-03   3.5193E-03   8.0049E-08   2.2745E-05
   9.6273E+02   3.0814E-03   3.0813E-03   6.1358E-08   1.9912E-05
   1.0289E+03   2.6963E-03   2.6962E-03   4.7031E-08   1.7443E-05
   1.0996E+03   2.3584E-03   2.3584E-03   3.6050E-08   1.5286E-05
   1.1752E+03   2.0629E-03   2.0629E-03   2.7633E-08   1.3395E-05
   1.2559E+03   1.8044E-03   1.8044E-03   2.1181E-08   1.1739E-05
   1.3423E+03   1.5783E-03   1.5783E-03   1.6236E-08   1.0287E-05
   1.4345E+03   1.3805E-03   1.3805E-03   1.2445E-08   9.0147E-06
   1.5331E+03   1.2075E-03   1.2075E-03   9.5396E-09   7.9000E-06
   1.6384E+03   1.0562E-03   1.0562E-03   7.3124E-09   6.9231E-06
   1.7510E+03   9.2388E-04   9.2387E-04   5.6052E-09   6.0670E-06
   1.8714E+03   8.0811E-04   8.0810E-04   4.2965E-09   5.3168E-06
   2.0000E+03   7.0684E-04   7.0684E-04   3.2934E-09   4.6593E-06
