# No.   M* (M_sun)   R* (R_sun)   Rph (R_sun)  L* (L_sun)  Ltot (L_sun)   t (yr)
    1  1.03885E-02  3.59000E+00  0.00000E+00  5.69672E-02  9.48533E-01  1.03892E+03  
    2  1.08036E-02  3.55152E+00  0.00000E+00  6.15852E-02  9.98814E-01  1.08042E+03  
    3  1.12315E-02  3.52685E+00  0.00000E+00  6.67051E-02  1.04820E+00  1.12359E+03  
    4  1.16746E-02  3.50632E+00  0.00000E+00  7.09675E-02  1.09731E+00  1.16809E+03  
    5  1.21364E-02  3.49935E+00  0.00000E+00  7.45402E-02  1.14350E+00  1.21417E+03  
    6  1.26218E-02  3.49335E+00  0.00000E+00  7.65135E-02  1.18966E+00  1.26220E+03  
    7  1.31268E-02  3.48824E+00  0.00000E+00  7.68838E-02  1.23625E+00  1.31268E+03  
    8  1.36528E-02  3.49289E+00  0.00000E+00  7.69289E-02  1.28108E+00  1.36521E+03  
    9  1.42031E-02  3.50262E+00  0.00000E+00  7.71563E-02  1.32608E+00  1.41991E+03  
   10  1.47823E-02  3.51734E+00  0.00000E+00  7.77455E-02  1.37156E+00  1.47714E+03  
   11  1.53714E-02  3.52880E+00  0.00000E+00  7.83988E-02  1.42061E+00  1.53738E+03  
   12  1.59845E-02  3.54942E+00  0.00000E+00  7.93025E-02  1.46689E+00  1.59864E+03  
   13  1.66123E-02  3.56309E+00  0.00000E+00  8.02059E-02  1.51761E+00  1.66241E+03  
   14  1.72780E-02  3.57702E+00  0.00000E+00  8.15648E-02  1.56960E+00  1.72770E+03  
   15  1.79726E-02  3.58603E+00  0.00000E+00  8.32742E-02  1.62706E+00  1.79693E+03  
   16  1.86856E-02  3.59599E+00  0.00000E+00  8.55709E-02  1.68697E+00  1.86918E+03  
   17  1.94469E-02  3.60181E+00  0.00000E+00  8.83548E-02  1.75059E+00  1.94333E+03  
   18  2.02247E-02  3.60662E+00  0.00000E+00  9.16548E-02  1.81930E+00  2.02250E+03  
   19  2.10334E-02  3.61451E+00  0.00000E+00  9.49099E-02  1.88774E+00  2.10339E+03  
   20  2.18836E-02  3.59145E+00  0.00000E+00  9.60314E-02  1.97252E+00  2.18750E+03  
   21  2.27590E-02  3.56361E+00  0.00000E+00  9.72977E-02  2.06489E+00  2.27592E+03  
   22  2.36693E-02  3.53222E+00  0.00000E+00  9.85603E-02  2.16304E+00  2.36696E+03  
   23  2.46246E-02  3.49867E+00  0.00000E+00  9.99113E-02  2.26756E+00  2.46164E+03  
   24  2.56346E-02  3.46275E+00  0.00000E+00  1.01220E-01  2.37975E+00  2.56099E+03  
   25  2.66399E-02  3.42736E+00  0.00000E+00  1.02478E-01  2.49895E+00  2.66603E+03  
   26  2.77056E-02  3.39177E+00  0.00000E+00  1.03797E-01  2.62038E+00  2.77058E+03  
   27  2.88231E-02  3.35605E+00  0.00000E+00  1.05111E-01  2.75023E+00  2.88142E+03  
   28  2.99811E-02  3.32013E+00  0.00000E+00  1.06398E-01  2.88798E+00  2.99764E+03  
   29  3.11662E-02  3.28504E+00  0.00000E+00  1.07672E-01  3.03191E+00  3.11807E+03  
   30  3.24129E-02  3.24986E+00  0.00000E+00  1.08900E-01  3.18164E+00  3.24133E+03  
   31  3.37094E-02  3.21433E+00  0.00000E+00  1.09978E-01  3.34095E+00  3.37098E+03  
   32  3.50425E-02  3.18060E+00  0.00000E+00  1.11062E-01  3.50691E+00  3.50582E+03  
   33  3.64442E-02  3.14705E+00  0.00000E+00  1.12021E-01  3.67980E+00  3.64447E+03  
   34  3.79020E-02  3.11502E+00  0.00000E+00  1.12954E-01  3.86160E+00  3.79025E+03  
   35  3.94029E-02  3.08434E+00  0.00000E+00  1.13932E-01  4.05130E+00  3.94186E+03  
   36  4.09792E-02  3.05198E+00  0.00000E+00  1.15667E-01  4.25236E+00  4.09795E+03  
   37  4.26184E-02  3.01706E+00  0.00000E+00  1.17765E-01  4.46973E+00  4.26189E+03  
   38  4.43054E-02  2.98139E+00  0.00000E+00  1.19895E-01  4.70009E+00  4.43237E+03  
   39  4.60775E-02  2.94519E+00  0.00000E+00  1.22324E-01  4.94235E+00  4.60782E+03  
   40  4.79206E-02  2.90874E+00  0.00000E+00  1.24934E-01  5.20056E+00  4.79212E+03  
   41  4.98223E-02  2.87280E+00  0.00000E+00  1.27892E-01  5.47259E+00  4.98381E+03  
   42  5.17689E-02  2.83659E+00  0.00000E+00  1.30914E-01  5.75864E+00  5.18158E+03  
   43  5.38841E-02  2.79675E+00  0.00000E+00  1.34429E-01  6.06534E+00  5.38404E+03  
   44  5.60393E-02  2.75821E+00  0.00000E+00  1.38339E-01  6.39783E+00  5.60402E+03  
   45  5.82443E-02  2.72066E+00  0.00000E+00  1.41801E-01  6.74150E+00  5.82816E+03  
   46  6.05741E-02  2.68344E+00  0.00000E+00  1.45295E-01  7.09982E+00  6.05748E+03  
   47  6.29448E-02  2.64815E+00  0.00000E+00  1.48446E-01  7.47754E+00  6.29978E+03  
   48  6.54385E-02  2.61463E+00  0.00000E+00  1.51697E-01  7.86528E+00  6.54634E+03  
   49  6.80561E-02  2.58379E+00  0.00000E+00  1.53853E-01  8.26873E+00  6.80569E+03  
   50  7.08083E-02  2.56001E+00  0.00000E+00  1.53572E-01  8.67145E+00  7.07792E+03  
